term,index,definition
qualified microgrid,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-E_section-48_subsection-c,"means an electrical system which— (i) includes equipment which is capable of generating not less than 4 kilowatts and not greater than 20 megawatts of electricity, (ii) is capable of operating— (I) in connection with the electrical grid and as a single controllable entity with respect to such grid, and (II) independently (and disconnected) from such grid, and (iii) is not part of a bulk-power system (as defined in section 215 of the Federal Power Act (16 U."
account holder,title-26_subtitle-A_chapter-1_subchapter-B_part-VII_section-220_subsection-d,means the individual on whose behalf the Archer MSA was established.
insured,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-101_subsection-j,"means, with respect to an employer-owned life insurance contract, an individual covered by the contract who is a United States citizen or resident."
insured,title-26_subtitle-D_chapter-34_subchapter-A_section-4372_subsection-d,"means— (1) a domestic corporation or partnership, or an individual resident of the United States, against, or with respect to, hazards, risks, losses, or liabilities wholly or partly within the United States, or (2) a foreign corporation, foreign partnership, or nonresident individual, engaged in a trade or business within the United States, against, or with respect to, hazards, risks, losses, or liabilities within the United States."
eligible project partner,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45J_subsection-e,"means any person who— (i) is responsible for, or participates in, the design or construction of the advanced nuclear power facility to which the credit under subsection (a) relates, (ii) participates in the provision of the nuclear steam supply system to such facility, (iii) participates in the provision of nuclear fuel to such facility, (iv) is a financial institution providing financing for the construction or operation of such facility, or (v) has an ownership interest in such facility."
eligible project partner,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45J_subsection-e,shall include any partner of the partnership.
nonoperating mineral interests,title-26_subtitle-A_chapter-1_subchapter-I_part-I_section-614_subsection-e,includes only interests which are not operating mineral interests.
individual medical benefit account,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-415_subsection-l,"means any separate account— (A) which is established for a participant under a pension or annuity plan, and (B) from which benefits described in section 401(h) are payable solely to such participant, his spouse, or his dependents."
airline-related services,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-132_subsection-j,means any of the following services provided in connection with air transportation: (i) Catering.
motorsports entertainment complex,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-168_subsection-i,"means a racing track facility which— (i) is permanently situated on land, and (ii) during the 36-month period following the first day of the month in which the asset is placed in service, hosts 1 or more racing events for automobiles (of any type), trucks, or motorcycles which are open to the public for the price of admission."
affected shareholders,title-26_subtitle-A_chapter-1_subchapter-S_part-IV_section-1377_subsection-a,means the shareholder whose interest is terminated and all shareholders to whom such shareholder has transferred shares during the taxable year.
affected shareholders,title-26_subtitle-A_chapter-1_subchapter-S_part-IV_section-1377_subsection-a,shall include all persons who are shareholders during the taxable year.
nonparticipating provider,title-26_subtitle-K_chapter-100_subchapter-B_section-9816_subsection-a,"means, with respect to an item or service and a group health plan, a physician or other health care provider who is acting within the scope of practice of that provider's license or certification under applicable State law and who does not have a contractual relationship with the plan or issuer, respectively, for furnishing such item or service under the plan."
nonparticipating provider,title-26_subtitle-K_chapter-100_subchapter-B_section-9817_subsection-c,meaning given such term in section 9816(a)(3).
disqualified supporting organization,title-26_subtitle-D_chapter-42_subchapter-G_section-4966_subsection-d,"means, with respect to any distribution— (i) any type III supporting organization (as defined in section 4943(f)(5)(A)) which is not a functionally integrated type III supporting organization (as defined in section 4943(f)(5)(B)), and (ii) any organization which is described in subparagraph (B) or (C) if— (I) the donor or any person designated by the donor for the purpose of advising with respect to distributions from a donor advised fund (and any related parties) directly or indirectly controls a supported organization (as defined in section 509(f)(3)) of such organization, or (II) the Secretary determines by regulations that a distribution to such organization otherwise is inappropriate."
successor in interest,title-26_subtitle-J_chapter-99_subchapter-A_section-9701_subsection-c,"shall not include any person who— (i) is an unrelated person to an eligible seller described in subparagraph (C); and (ii) purchases for fair market value assets, or all of the stock, of a related person to such seller, in a bona fide, arm's-length sale."
applicable person,title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-B_section-6045A_subsection-b,"means— (1) any broker (as defined in section 6045(c)(1)), and (2) any other person as provided by the Secretary in regulations."
applicable person,title-26_subtitle-F_chapter-75_subchapter-A_part-I_section-7217_subsection-e,"means— (1) the President, the Vice President, any employee of the executive office of the President, and any employee of the executive office of the Vice President; and (2) any individual (other than the Attorney General of the United States) serving in a position specified in section 5312 of title 5, United States Code."
tax-exempt controlled entity,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-168_subsection-h,means any corporation (which is not a tax-exempt entity determined without regard to this subparagraph and paragraph (2)(E)) if 50 percent or more (in value) of the stock in such corporation is held by 1 or more tax-exempt entities (other than a foreign person or entity).
surrogate foreign corporation,title-26_subtitle-A_chapter-1_subchapter-A_part-VII_section-59A_subsection-d,meaning given such term by section 7874(a)(2)(B) but does not include a foreign corporation treated as a domestic corporation under section 7874(b).
surrogate foreign corporation,title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-F_section-965_subsection-l,meaning given such term in section 7874(a)(2)(B).
supplier-based intangible,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-197_subsection-d,means any value resulting from future acquisitions of goods or services pursuant to relationships (contractual or otherwise) in the ordinary course of business with suppliers of goods or services to be used or sold by the taxpayer.
family,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-263A_subsection-e,"means the taxpayer, the spouse of the taxpayer, and any of their children who have not attained age 18 before the close of the taxable year."
family,title-26_subtitle-D_chapter-42_subchapter-A_section-4940_subsection-d,meaning given to such term by section 4946(d).
agricultural livestock waste nutrients,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45_subsection-c,"means agricultural livestock manure and litter, including wood shavings, straw, rice hulls, and other bedding material for the disposition of manure."
farm,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-147_subsection-c,meaning given such term by section 6420(c)(2).
farm,title-26_subtitle-B_chapter-11_subchapter-A_part-III_section-2032A_subsection-e,"includes stock, dairy, poultry, fruit, furbearing animal, and truck farms, plantations, ranches, nurseries, ranges, greenhouses or other similar structures used primarily for the raising of agricultural or horticultural commodities, and orchards and woodlands."
farm,title-26_subtitle-C_chapter-21_subchapter-C_section-3121_subsection-g,"includes stock, dairy, poultry, fruit, fur-bearing animal, and truck farms, plantations, ranches, nurseries, ranges, greenhouses or other similar structures used primarily for the raising of agricultural or horticultural commodities, and orchards."
farm,title-26_subtitle-F_chapter-65_subchapter-B_section-6420_subsection-c,"includes stock, dairy, poultry, fruit, fur-bearing animal, and truck farms, plantations, ranches, nurseries, ranges, greenhouses or other similar structures used primarily for the raising of agricultural or horticultural commodities, and orchards."
veteran,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-F_section-51_subsection-d,"means any individual who is certified by the designated local agency as— (i)(I) having served on active duty (other than active duty for training) in the Armed Forces of the United States for a period of more than 180 days, or (II) having been discharged or released from active duty in the Armed Forces of the United States for a service-connected disability, and (ii) not having any day during the 60-day period ending on the hiring date which was a day of extended active duty in the Armed Forces of the United States."
applicable critical mineral,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45X_subsection-c,"means any of the following: (A) Aluminum Aluminum which is— (i) converted from bauxite to a minimum purity of 99 percent alumina by mass, or (ii) purified to a minimum purity of 99."
commodities derivative financial instrument,title-26_subtitle-A_chapter-1_subchapter-P_part-III_section-1221_subsection-b,"means any contract or financial instrument with respect to commodities (other than a share of stock in a corporation, a beneficial interest in a partnership or trust, a note, bond, debenture, or other evidence of indebtedness, or a section 1256 contract (as defined in section 1256(b))), the value or settlement price of which is calculated by or determined by reference to a specified index."
severely financially distressed employer,title-26_subtitle-C_chapter-21_subchapter-D_section-3134_subsection-c,"means an eligible employer as defined in paragraph (2), determined by substituting ""less than 10 percent"" for ""less than 80 percent"" in subparagraph (A)(ii)(II) thereof."
previously-owned clean vehicle,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-A_section-25E_subsection-c,"means, with respect to a taxpayer, a motor vehicle— (A) the model year of which is at least 2 years earlier than the calendar year in which the taxpayer acquires such vehicle, (B) the original use of which commences with a person other than the taxpayer, (C) which is acquired by the taxpayer in a qualified sale, and (D) which— (i) meets the requirements of subparagraphs (C), (D), (E), (F), and (H) (except for clause (iv) thereof) of section 30D(d)(1), or (ii) is a motor vehicle which— (I) satisfies the requirements under subparagraphs (A) and (B) of section 30B(b)(3), and (II) has a gross vehicle weight rating of less than 14,000 pounds."
qualified advanced mine safety equipment property,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-179E_subsection-c,"means any advanced mine safety equipment property for use in any underground mine located in the United States— (1) the original use of which commences with the taxpayer, and (2) which is placed in service by the taxpayer after the date of the enactment of this section."
market discount bond,title-26_subtitle-A_chapter-1_subchapter-P_part-V_subpart-B_section-1278_subsection-a,means any bond having market discount.
market discount bond,title-26_subtitle-A_chapter-1_subchapter-P_part-V_subpart-B_section-1278_subsection-a,meaning of section 368(a)(1)) in exchange for another bond having market discount.
mixed-fuel vehicle,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-B_section-30B_subsection-e,"means any motor vehicle described in subparagraph (C) or (D) of paragraph (3), which— (i) is certified by the manufacturer as being able to perform efficiently in normal operation on a combination of an alternative fuel and a petroleum-based fuel, (ii) either— (I) has received a certificate of conformity under the Clean Air Act, or (II) has received an order certifying the vehicle as meeting the same requirements as vehicles which may be sold or leased in California and meets or exceeds the low emission vehicle standard under section 88."
biodiesel mixture,title-26_subtitle-F_chapter-65_subchapter-B_section-6426_subsection-c,"means a mixture of biodiesel and diesel fuel (as defined in section 4083(a)(3)), determined without regard to any use of kerosene, which— (A) is sold by the taxpayer producing such mixture to any person for use as a fuel, or (B) is used as a fuel by the taxpayer producing such mixture."
non-skip person,title-26_subtitle-B_chapter-13_subchapter-B_section-2613_subsection-b,means any person who is not a skip person.
governmental unit,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-C_section-150_subsection-a,does not include the United States or any agency or instrumentality thereof.
writer,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-263A_subsection-h,"means any individual if the personal efforts of such individual create (or may reasonably be expected to create) a literary manuscript, musical composition (including any accompanying words), or dance score."
seasonal worker,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45R_subsection-d,"means a worker who performs labor or services on a seasonal basis as defined by the Secretary of Labor, including workers covered by section 500."
seasonal worker,title-26_subtitle-D_chapter-43_section-4980H_subsection-c,"means a worker who performs labor or services on a seasonal basis as defined by the Secretary of Labor, including workers covered by section 500."
candidate,title-26_subtitle-A_chapter-1_subchapter-F_part-VI_section-527_subsection-g,"means, with respect to any Federal, State, or local elective public office, an individual who— (A) publicly announces that he is a candidate for nomination or election to such office, and (B) meets the qualifications prescribed by law to hold such office."
candidate,title-26_subtitle-H_chapter-95_section-9002,"means, with respect to any presidential election, an individual who (A) has been nominated for election to the office of President of the United States or the office of Vice President of the United States by a major party, or (B) has qualified to have his name on the election ballot (or to have the names of electors pledged to him on the election ballot) as the candidate of a political party for election to either such office in 10 or more States."
candidate,title-26_subtitle-H_chapter-95_section-9002,"shall not include any individual who has ceased actively to seek election to the office of President of the United States or to the office of Vice President of the United States, in more than one State."
candidate,title-26_subtitle-H_chapter-96_section-9032,means an individual who seeks nomination for election to be President of the United States.
candidate,title-26_subtitle-H_chapter-96_section-9032,shall not include any individual who is not actively conducting campaigns in more than one State in connection with seeking nomination for election to be President of the United States.
federally authorized tax practitioner,title-26_subtitle-F_chapter-77_section-7525_subsection-a,"means any individual who is authorized under Federal law to practice before the Internal Revenue Service if such practice is subject to Federal regulation under section 330 of title 31, United States Code."
real estate mortgage investment conduit,title-26_subtitle-A_chapter-1_subchapter-M_part-IV_section-860D_subsection-a,"mean any entity— (1) to which an election to be treated as a REMIC applies for the taxable year and all prior taxable years, (2) all of the interests in which are regular interests or residual interests, (3) which has 1 (and only 1) class of residual interests (and all distributions, if any, with respect to such interests are pro rata), (4) as of the close of the 3rd month beginning after the startup day and at all times thereafter, substantially all of the assets of which consist of qualified mortgages and permitted investments, (5) which has a taxable year which is a calendar year, and (6) with respect to which there are reasonable arrangements designed to ensure that— (A) residual interests in such entity are not held by disqualified organizations (as defined in section 860E(e)(5)), and (B) information necessary for the application of section 860E(e) will be made available by the entity."
part-time employee,title-26_subtitle-D_chapter-43_section-4980E_subsection-d,means any employee who is customarily employed for fewer than 30 hours per week.
multiple employer welfare arrangement,title-26_subtitle-K_chapter-100_subchapter-A_section-9803_subsection-b,"meaning given such term by section 3(40) of the Employee Retirement Income Security Act of 1974, as in effect on the date of the enactment of this section."
motion picture project employer,title-26_subtitle-C_chapter-25_section-3512_subsection-b,"means any person if— (A) such person (directly or through affiliates)— (i) is a party to a written contract covering the services of motion picture project workers with respect to motion picture projects in the course of a client's trade or business, (ii) is contractually obligated to pay remuneration to the motion picture project workers without regard to payment or reimbursement by any other person, (iii) controls the payment (within the meaning of section 3401(d)(1)) of remuneration to the motion picture project workers and pays such remuneration from its own account or accounts, (iv) is a signatory to one or more collective bargaining agreements with a labor organization (as defined in 29 U."
torque tube,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45X_subsection-c,means a structural steel support element (including longitudinal purlins) which—
uniformed services,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-121_subsection-d,"meaning given such term by section 101(a)(5) of title 10, United States Code, as in effect on the date of the enactment of this paragraph."
broadcast undertaking,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-162_subsection-j,includes (but is not limited to) radio and television stations.
top-heavy plan,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-416_subsection-g,"means, with respect to any plan year— (i) any defined benefit plan if, as of the determination date, the present value of the cumulative accrued benefits under the plan for key employees exceeds 60 percent of the present value of the cumulative accrued benefits under the plan for all employees, and (ii) any defined contribution plan if, as of the determination date, the aggregate of the accounts of key employees under the plan exceeds 60 percent of the aggregate of the accounts of all employees under such plan."
top-heavy plan,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-416_subsection-g,"shall not include a plan which consists solely of— (i) a cash or deferred arrangement which meets the requirements of section 401(k)(12) or 401(k)(13) and matching contributions with respect to which the requirements of paragraph (11), (12), or (13) of section 401(m) are met, or (ii) a starter 401(k) deferral-only arrangement described in section 401(k)(16)(B) or a safe harbor deferral-only plan described in section 403(b)(16)."
chief executive officer,title-26_subtitle-F_chapter-61_subchapter-B_section-6103_subsection-b,"means, with respect to any municipality, any elected official and the chief official (even if not elected) of such municipality."
legislative days,title-26_subtitle-H_chapter-95_section-9009_subsection-c,does not include any calendar day on which both Houses of the Congress are not in session.
legislative days,title-26_subtitle-H_chapter-96_section-9039_subsection-c,does not include any calendar day on which both Houses of the Congress are not in session.
covered person,title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-A_section-909_subsection-d,"means, with respect to any person who pays or accrues a foreign income tax (hereafter in this paragraph referred to as the ""payor"")— (A) any entity in which the payor holds, directly or indirectly, at least a 10 percent ownership interest (determined by vote or value), (B) any person which holds, directly or indirectly, at least a 10 percent ownership interest (determined by vote or value) in the payor, (C) any person which bears a relationship to the payor described in section 267(b) or 707(b), and (D) any other person specified by the Secretary for purposes of this paragraph."
straight debt,title-26_subtitle-A_chapter-1_subchapter-S_part-I_section-1361_subsection-c,"means any written unconditional promise to pay on demand or on a specified date a sum certain in money if— (i) the interest rate (and interest payment dates) are not contingent on profits, the borrower's discretion, or similar factors, (ii) there is no convertibility (directly or indirectly) into stock, and (iii) the creditor is an individual (other than a nonresident alien), an estate, a trust described in paragraph (2), or a person which is actively and regularly engaged in the business of lending money."
genetic information,title-26_subtitle-K_chapter-100_subchapter-C_section-9832_subsection-d,"means, with respect to any individual, information about— (i) such individual's genetic tests, (ii) the genetic tests of family members of such individual, and (iii) the manifestation of a disease or disorder in family members of such individual."
genetic information,title-26_subtitle-K_chapter-100_subchapter-C_section-9832_subsection-d,shall not include information about the sex or age of any individual.
business company,title-26_subtitle-F_chapter-62_subchapter-B_section-6166_subsection-b,means any corporation carrying on a trade or business.
advanced nuclear power facility,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45J_subsection-d,"means any advanced nuclear facility— (A) which is owned by the taxpayer and which uses nuclear energy to produce electricity, and (B) which is placed in service after the date of the enactment of this paragraph and before January 1, 2021."
non-financial foreign entity,title-26_subtitle-A_chapter-4_section-1472_subsection-d,means any foreign entity which is not a financial institution (as defined in section 1471(d)(5)).
responsible administrative authority,title-26_subtitle-E_chapter-55_section-5891_subsection-c,means the administrative authority which had jurisdiction over the underlying action or proceeding which was resolved by means of the structured settlement.
qualified blood collector vehicle,title-26_subtitle-D_chapter-36_subchapter-D_section-4483_subsection-h,"means a vehicle at least 80 percent of the use of which during the prior taxable period was by a qualified blood collector organization in the collection, storage, or transportation of blood."
simple cafeteria plan,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-125_subsection-j,"means a cafeteria plan— (A) which is established and maintained by an eligible employer, and (B) with respect to which the contribution requirements of paragraph (3), and the eligibility and participation requirements of paragraph (4), are met."
specified foreign corporation,title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-D_section-898_subsection-b,"means any foreign corporation— (A) which is treated as a controlled foreign corporation for any purpose under subpart F of part III of this subchapter, and (B) with respect to which the ownership requirements of paragraph (2) are met."
specified foreign corporation,title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-F_section-965_subsection-e,"means— (A) any controlled foreign corporation, and (B) any foreign corporation with respect to which one or more domestic corporations is a United States shareholder."
computer technology or equipment,title-26_subtitle-A_chapter-1_subchapter-F_part-VIII_section-530_subsection-b,"means computer software (as defined by section 197(e)(3)(B)), computer or peripheral equipment (as defined by section 168(i)(2)(B)), and fiber optic cable related to computer use."
"terrorist incident, threat, or activity",title-26_subtitle-F_chapter-61_subchapter-B_section-6103_subsection-b,"means an incident, threat, or activity involving an act of domestic terrorism (as defined in section 2331(5) of title 18, United States Code) or international terrorism (as defined in section 2331(1) of such title)."
qualified blood collector organization,title-26_subtitle-D_chapter-36_subchapter-D_section-4483_subsection-h,meaning given such term by section 7701(a)(49).
qualified blood collector organization,title-26_subtitle-F_chapter-79_section-7701_subsection-a,"means an organization which is— (A) described in section 501(c)(3) and exempt from tax under section 501(a), (B) primarily engaged in the activity of the collection of human blood, (C) registered with the Secretary for purposes of excise tax exemptions, and (D) registered by the Food and Drug Administration to collect blood."
current year,title-26_subtitle-A_chapter-1_subchapter-P_part-VI_subpart-A_section-1291_subsection-a,means the taxable year in which the excess distribution or disposition occurs.
visit,title-26_subtitle-K_chapter-100_subchapter-B_section-9816_subsection-b,"shall, with respect to items and services furnished to an individual at a health care facility, include equipment and devices, telemedicine services, imaging services, laboratory services, preoperative and postoperative services, and such other items and services as the Secretary may specify, regardless of whether or not the provider furnishing such items or services is at the facility."
qualified low-income housing project,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-42_subsection-g,"means any project for residential rental property if the project meets the requirements of subparagraph (A), (B), or (C) whichever is elected by the taxpayer: (A) 20–50 test The project meets the requirements of this subparagraph if 20 percent or more of the residential units in such project are both rent-restricted and occupied by individuals whose income is 50 percent or less of area median gross income."
eligible investment expert,title-26_subtitle-D_chapter-43_section-4975_subsection-f,"means any person which meets such requirements as the Secretary of Labor may provide and which does not bear any material affiliation or contractual relationship with any investment adviser or a related person thereof (or any employee, agent, or registered representative of the investment adviser or related person)."
"person,",title-26_subtitle-F_chapter-64_subchapter-D_part-II_section-6332_subsection-f,"includes an officer or employee of a corporation or a member or employee of a partnership, who as such officer, employee, or member is under a duty to surrender the property or rights to property, or to discharge the obligation."
starter 401(k) deferral-only arrangement,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-401_subsection-k,"means any cash or deferred arrangement which meets— (i) the automatic deferral requirements of subparagraph (C), (ii) the contribution limitations of subparagraph (D), and (iii) the requirements of subparagraph (E) of paragraph (13)."
major party,title-26_subtitle-H_chapter-95_section-9002,"means, with respect to any presidential election, a political party whose candidate for the office of President in the preceding presidential election received, as the candidate of such party, 25 percent or more of the total number of popular votes received by all candidates for such office."
target corporation,title-26_subtitle-A_chapter-1_subchapter-C_part-II_subpart-B_section-338_subsection-d,means any corporation the stock of which is acquired by another corporation in a qualified stock purchase.
low-income housing,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-267_subsection-e,"means— (i) any interest in property described in clause (i), (ii), (iii), or (iv) of section 1250(a)(1)(B), and (ii) any interest in a partnership owning such property."
blighted area,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-144_subsection-c,"means any area which the governing body described in subparagraph (A) determines to be a blighted area on the basis of the substantial presence of factors such as excessive vacant land on which structures were previously located, abandoned or vacant buildings, substandard structures, vacancies, and delinquencies in payment of real property taxes."
qualified financing issue,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-265_subsection-b,"means any composite, pooled, or other conduit financing issue the proceeds of which are used directly or indirectly to make or finance loans to 1 or more ultimate borrowers each of whom is a qualified borrower."
fractional ownership aircraft program,title-26_subtitle-D_chapter-31_subchapter-B_section-4043_subsection-c,"means a program under which— (A) a single fractional ownership program manager provides fractional ownership program management services on behalf of the fractional owners, (B) there are 1 or more fractional owners per fractional program aircraft, with at least 1 fractional program aircraft having more than 1 owner, (C) with respect to at least 2 fractional program aircraft, none of the ownership interests in such aircraft are— (i) less than the minimum fractional ownership interest, or (ii) held by the program manager referred to in subparagraph (A), (D) there exists a dry-lease aircraft exchange arrangement among all of the fractional owners, and (E) there are multi-year program agreements covering the fractional ownership, fractional ownership program management services, and dry-lease aircraft exchange aspects of the program."
expatriated corporation,title-26_subtitle-D_chapter-45_section-4985_subsection-e,means any corporation which is an expatriated entity (as defined in section 7874(a)(2)).
syndicate,title-26_subtitle-A_chapter-1_subchapter-P_part-IV_section-1256_subsection-e,means any partnership or other entity (other than a corporation which is not an S corporation) if more than 35 percent of the losses of such entity during the taxable year are allocable to limited partners or limited entrepreneurs (within the meaning of section 461(k)(4)).
qualified woodland,title-26_subtitle-B_chapter-11_subchapter-A_part-III_section-2032A_subsection-e,"means any real property which— (i) is used in timber operations, and (ii) is an identifiable area of land such as an acre or other area for which records are normally maintained in conducting timber operations."
political committee,title-26_subtitle-H_chapter-95_section-9002,"means any committee, association, or organization (whether or not incorporated) which accepts contributions or makes expenditures for the purpose of influencing, or attempting to influence, the nomination or election of one or more individuals to Federal, State, or local elective public office."
political committee,title-26_subtitle-H_chapter-96_section-9032,"means any individual, committee, association, or organization (whether or not incorporated) which accepts contributions or incurs qualified campaign expenses for the purpose of influencing, or attempting to influence, the nomination of any person for election to the office of President of the United States."
nonqualified church-controlled organization,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-414_subsection-c,means a church-controlled tax-exempt organization described in section 501(c)(3) that is not a qualified church-controlled organization (as defined in section 3121(w)(3)(B)).
eligible seller,title-26_subtitle-J_chapter-99_subchapter-A_section-9701_subsection-c,means an assigned operator described in section 9704(j)(2) or a related person to such assigned operator.
holder,title-26_subtitle-A_chapter-1_subchapter-P_part-IV_section-1235_subsection-b,"means— (1) any individual whose efforts created such property, or (2) any other individual who has acquired his interest in such property in exchange for consideration in money or money's worth paid to such creator prior to actual reduction to practice of the invention covered by the patent, if such individual is neither— (A) the employer of such creator, nor (B) related to such creator (within the meaning of subsection (c))."
proof spirits,title-26_subtitle-E_chapter-51_subchapter-A_part-I_subpart-A_section-5002_subsection-a,means that liquid which contains one-half its volume of ethyl alcohol of a specific gravity of 0.
qualified buyer,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-A_section-25E_subsection-c,"means, with respect to a sale of a motor vehicle, a taxpayer— (A) who is an individual, (B) who purchases such vehicle for use and not for resale, (C) with respect to whom no deduction is allowable with respect to another taxpayer under section 151, and (D) who has not been allowed a credit under this section for any sale during the 3-year period ending on the date of the sale of such vehicle."
roll-your-own tobacco,title-26_subtitle-E_chapter-52_subchapter-A_subsection-o,"means any tobacco which, because of its appearance, type, packaging, or labeling, is suitable for use and likely to be offered to, or purchased by, consumers as tobacco for making cigarettes or cigars, or for use as wrappers thereof."
qualified alternative fuel vehicle refueling property,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-B_section-30C_subsection-c,meaning as
qualified alternative fuel vehicle refueling property,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-B_section-30C_subsection-f,"includes any property described in subsection (c) for the recharging of a motor vehicle described in paragraph (2), but only if such property— (A) meets the requirements of subsection (a)(2),1 and (B) is of a character subject to depreciation."
alternative energy facility,title-26_subtitle-F_chapter-79_section-7701_subsection-e,"means a facility for producing electrical or thermal energy if the primary energy source for the facility is not oil, natural gas, coal, or nuclear power."
photovoltaic wafer,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45X_subsection-c,"means a thin slice, sheet, or layer of semiconductor material of at least 240 square centimeters— (I) produced by a single manufacturer either— (II) which comprises the substrate or absorber layer of one or more photovoltaic cells."
qualified opportunity fund,title-26_subtitle-A_chapter-1_subchapter-Z_section-1400Z_subsection-d,"means any investment vehicle which is organized as a corporation or a partnership for the purpose of investing in qualified opportunity zone property (other than another qualified opportunity fund) that holds at least 90 percent of its assets in qualified opportunity zone property, determined by the average of the percentage of qualified opportunity zone property held in the fund as measured— (A) on the last day of the first 6-month period of the taxable year of the fund, and (B) on the last day of the taxable year of the fund."
tertiary injectant,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45Q_subsection-e,meaning as when used within section 193(b)(1).
qualified volunteer fire department,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-C_section-150_subsection-e,"means, with respect to a political subdivision of a State, any organization— (A) which is organized and operated to provide firefighting or emergency medical services for persons in an area (within the jurisdiction of such political subdivision) which is not provided with any other firefighting services, and (B) which is required (by written agreement) by the political subdivision to furnish firefighting services in such area."
qualified manufacturer,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-A_section-25C_subsection-h,"means any manufacturer of specified property which enters into an agreement with the Secretary which provides that such manufacturer will— (A) assign a product identification number to each item of specified property produced by such manufacturer utilizing a methodology that will ensure that such number (including any alphanumeric) is unique to each such item (by utilizing numbers or letters which are unique to such manufacturer or by such other method as the Secretary may provide), (B) label such item with such number in such manner as the Secretary may provide, and (C) make periodic written reports to the Secretary (at such times and in such manner as the Secretary may provide) of the product identification numbers so assigned and including such information as the Secretary may require with respect to the item of specified property to which such number was so assigned."
qualified manufacturer,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-B_section-30D_subsection-d,means any manufacturer (within the meaning of the regulations prescribed by the Administrator of the Environmental Protection Agency for purposes of the administration of title II of the Clean Air Act (42 U.
active participant,title-26_subtitle-A_chapter-1_subchapter-B_part-VII_section-219_subsection-g,"means, with respect to any plan year, an individual— (A) who is an active participant in— (i) a plan described in section 401(a) which includes a trust exempt from tax under section 501(a), (ii) an annuity plan described in section 403(a), (iii) a plan established for its employees by the United States, by a State or political subdivision thereof, or by an agency or instrumentality of any of the foregoing, (iv) an annuity contract described in section 403(b), (v) a simplified employee pension (within the meaning of section 408(k)), or (vi) any simple retirement account (within the meaning of section 408(p)), or (B) who makes deductible contributions to a trust described in section 501(c)(18)."
active participant,title-26_subtitle-A_chapter-1_subchapter-D_part-III_subpart-A_section-432_subsection-j,"means, in connection with a multiemployer plan, a participant who is in covered service under the plan."
dependent child,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-132_subsection-h,"means any child (as defined in section 152(f)(1)) of the employee— (i) who is a dependent of the employee, or (ii) both of whose parents are deceased and who has not attained age 25."
