index,name,type,definition
title-26_subtitle-D_chapter-44_section-4981_subsection-e,ordinary income,concept,"means the real estate investment trust taxable income (as defined in section 857(b)(2)) determined— (A) without regard to subparagraph (B) of section 857(b)(2), (B) by not taking into account any gain or loss from the sale or exchange of a capital asset, and (C) by treating the calendar year as the trust's taxable year."
title-26_subtitle-A_chapter-1_subchapter-D_part-III_subpart-A_section-430_subsection-k,contribution payment,concept,"means, in connection with a plan, a contribution payment required to be made to the plan, including any required installment under paragraphs (3) and (4) of subsection (j)."
title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-280H_subsection-c,applicable percentage,concept,"means the percentage (not in excess of 95 percent) determined by dividing— (A) the applicable amounts paid or incurred during the 3 taxable years immediately preceding the taxable year, by (B) the adjusted taxable income of such corporation for such 3 taxable years."
title-26_subtitle-D_chapter-32_subchapter-D_part-I_section-4162_subsection-b,related person,entity,meaning given such term by section 465(b)(3)(C).
title-26_subtitle-A_chapter-1_subchapter-C_part-I_subpart-A_section-305_subsection-d,shareholder,entity,includes a holder of rights or of convertible securities.
title-26_subtitle-B_chapter-14_section-2701_subsection-c,distribution right,concept,"means— (i) a right to distributions from a corporation with respect to its stock, and (ii) a right to distributions from a partnership with respect to a partner's interest in the partnership."
title-26_subtitle-D_chapter-42_subchapter-A_section-4945_subsection-i,correction,entity,"mean, with respect to any taxable expenditure, (A) recovering part or all of the expenditure to the extent recovery is possible, and where full recovery is not possible such additional corrective action as is prescribed by the Secretary by regulations, or (B) in the case of a failure to comply with subsection (h)(2) or (h)(3), obtaining or making the report in question."
title-26_subtitle-A_chapter-1_subchapter-F_part-I_section-502_subsection-b,trade or business,entity,"shall not include— (1) the deriving of rents which would be excluded under section 512(b)(3), if section 512 applied to the organization, (2) any trade or business in which substantially all the work in carrying on such trade or business is performed for the organization without compensation, or (3) any trade or business which is the selling of merchandise, substantially all of which has been received by the organization as gifts or contributions."
title-26_subtitle-A_chapter-1_subchapter-P_part-V_subpart-D_section-1288_subsection-b,tax-exempt obligation,concept,meaning given to such term by section 1275(a)(3).
title-26_subtitle-B_chapter-11_subchapter-A_part-III_section-2031_subsection-c,applicable percentage,concept,means 40 percent reduced (but not below zero) by 2 percentage points for each percentage point (or fraction thereof) by which the value of the qualified conservation easement is less than 30 percent of the value of the land (determined without regard to the value of such easement and reduced by the value of any retained development right (as defined in paragraph (5))).
title-26_subtitle-A_chapter-1_subchapter-D_part-III_subpart-A_section-432_subsection-j,accumulated funding deficiency,concept,meaning given such term in section 431(a).
title-26_subtitle-K_chapter-100_subchapter-C_section-9832_subsection-a,group health plan,concept,meaning given to such term by section 5000(b)(1).
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-163_subsection-j,excess taxable income,concept,"means, with respect to any partnership, the amount which bears the same ratio to the partnership's adjusted taxable income as— (i) the excess (if any) of— (I) the amount determined for the partnership under paragraph (1)(B), over (II) the amount (if any) by which the business interest of the partnership, reduced by the floor plan financing interest, exceeds the business interest income of the partnership, bears to (ii) the amount determined for the partnership under paragraph (1)(B)."
title-26_subtitle-D_chapter-38_subchapter-A_section-4612_subsection-a,united states,entity,"means the 50 States, the District of Columbia, the Commonwealth of Puerto Rico, any possession of the United States, the Commonwealth of the Northern Mariana Islands, and the Trust Territory of the Pacific Islands."
title-26_subtitle-A_chapter-1_subchapter-M_part-III_section-860_subsection-f,deficiency dividends,concept,"means a distribution of property made by the qualified investment entity on or after the date of the determination and before filing claim under subsection (g), which would have been includible in the computation of the deduction for dividends paid under section 561 for the taxable year with respect to which the liability for tax resulting from the determination exists if distributed during such taxable year."
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-402_subsection-e,securities,entity,means only shares of stock and bonds or debentures issued by a corporation with interest coupons or in registered form.
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-414_subsection-n,compensation,entity,"meaning as when used in section 415; except that such term shall include— (I) any employer contribution under a qualified cash or deferred arrangement to the extent not included in gross income under section 402(e)(3) or 402(h)(1)(B), (II) any amount which the employee would have received in cash but for an election under a cafeteria plan (within the meaning of section 125), and (III) any amount contributed to an annuity contract described in section 403(b) pursuant to a salary reduction agreement (within the meaning of section 3121(a)(5)(D))."
title-26_subtitle-A_chapter-1_subchapter-H_part-I_section-581,bank,entity,"means a bank or trust company incorporated and doing business under the laws of the United States (including laws relating to the District of Columbia) or of any State, a substantial part of the business of which consists of receiving deposits and making loans and discounts, or of exercising fiduciary powers similar to those permitted to national banks under authority of the Comptroller of the Currency, and which is subject by law to supervision and examination by State or Federal authority having supervision over banking institutions."
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-40_subsection-b,second generation biofuel,concept,"means any liquid fuel which— (I) is derived by, or from, qualified feedstocks, and (II) meets the registration requirements for fuels and fuel additives established by the Environmental Protection Agency under section 211 of the Clean Air Act (42 U."
title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-264_subsection-e,20-percent owner,entity,"means— (A) if the taxpayer is a corporation, any person who owns directly 20 percent or more of the outstanding stock of the corporation or stock possessing 20 percent or more of the total combined voting power of all stock of the corporation, or (B) if the taxpayer is not a corporation, any person who owns 20 percent or more of the capital or profits interest in the taxpayer."
title-26_subtitle-A_chapter-1_subchapter-F_part-III_section-512_subsection-b,eligible taxpayer,entity,"means, with respect to a property, any organization exempt from tax under section 501(a) which— (I) acquires from an unrelated person a qualifying brownfield property, and (II) pays or incurs eligible remediation expenditures with respect to such property in an amount which exceeds the greater of $550,000 or 12 percent of the fair market value of the property at the time such property was acquired by the eligible taxpayer, determined as if there was not a presence of a hazardous substance, pollutant, or contaminant on the property which is complicating the expansion, redevelopment, or reuse of the property."
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-414_subsection-z,church or convention or association of churches,entity,includes an organization described in subparagraph (A) or (B)(ii) of subsection (e)(3).
title-26_subtitle-A_chapter-1_subchapter-F_part-III_section-513_subsection-e,unrelated trade or business,entity,"does not include the furnishing of one or more of the services described in section 501(e)(1)(A) to one or more hospitals described in section 170(b)(1)(A)(iii) if— (1) such services are furnished solely to such hospitals which have facilities to serve not more than 100 inpatients; (2) such services, if performed on its own behalf by the recipient hospital, would constitute activities in exercising or performing the purpose or function constituting the basis for its exemption; and (3) such services are provided at a fee or cost which does not exceed the actual cost of providing such services, such cost including straight line depreciation and a reasonable amount for return on capital goods used to provide such services."
title-26_subtitle-A_chapter-1_subchapter-A_part-VII_section-59A_subsection-d,base erosion payment,concept,means any amount paid or accrued by the taxpayer to a foreign person which is a related party of the taxpayer and with respect to which a deduction is allowable under this chapter.
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-416_subsection-i,5-percent owner,entity,"means— (I) if the employer is a corporation, any person who owns (or is considered as owning within the meaning of section 318) more than 5 percent of the outstanding stock of the corporation or stock possessing more than 5 percent of the total combined voting power of all stock of the corporation, or (II) if the employer is not a corporation, any person who owns more than 5 percent of the capital or profits interest in the employer."
title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-F_section-965_subsection-c,aggregate foreign cash position,concept,"means, with respect to any United States shareholder, the greater of— (i) the aggregate of such United States shareholder's pro rata share of the cash position of each specified foreign corporation of such United States shareholder determined as of the close of the last taxable year of such specified foreign corporation which begins before January 1, 2018, or (ii) one half of the sum of— (I) the aggregate described in clause (i) determined as of the close of the last taxable year of each such specified foreign corporation which ends before November 2, 2017, plus (II) the aggregate described in clause (i) determined as of the close of the taxable year of each such specified foreign corporation which precedes the taxable year referred to in subclause (I)."
title-26_subtitle-A_chapter-1_subchapter-D_part-II_section-423_subsection-b,employee stock purchase plan,entity,means a plan which meets the following requirements: (1) the plan provides that options are to be granted only to employees of the employer corporation or of its parent or subsidiary corporation to purchase stock in any such corporation; (2) such plan is approved by the stockholders of the granting corporation within 12 months before or after the date such plan is adopted; (3) under
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-408_subsection-k,employee,entity,meanings given such terms by section 401(c).
title-26_subtitle-D_chapter-42_subchapter-A_section-4944_subsection-e,taxable period,entity,"means, with respect to any investment which jeopardizes the carrying out of exempt purposes, the period beginning with the date on which the amount is so invested and ending on the earliest of— (A) the date of mailing of a notice of deficiency with respect to the tax imposed by subsection (a)(1) under section 6212, (B) the date on which the tax imposed by subsection (a)(1) is assessed, or (C) the date on which the amount so invested is removed from jeopardy."
title-26_subtitle-A_chapter-1_subchapter-H_part-I_section-582_subsection-c,business development corporation,entity,"means a corporation which was created by or pursuant to an act of a State legislature for purposes of promoting, maintaining, and assisting the economy and industry within such State on a regional or statewide basis by making loans to be used in trades and businesses which would generally not be made by banks within such region or State in the ordinary course of their business (except on the basis of a partial participation), and which is operated primarily for such purposes."
title-26_subtitle-D_chapter-42_subchapter-A_section-4942_subsection-d,distributable amount,concept,"means, with respect to any foundation for any taxable year, an amount equal to— (1) the sum of the minimum investment return plus the amounts described in subsection (f)(2)(C), reduced by (2) the sum of the taxes imposed on such private foundation for the taxable year under subtitle A and section 4940."
title-26_subtitle-A_chapter-1_subchapter-F_part-I_section-501_subsection-j,qualified amateur sports organization,entity,means any organization organized and operated exclusively to foster national or international amateur sports competition if such organization is also organized and operated primarily to conduct national or international competition in sports or to support and develop amateur athletes for national or international competition in sports.
title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-A_section-901_subsection-k,qualified tax,concept,"means a tax paid to a foreign country (other than the foreign country referred to in subparagraph (A)) if— (i) the dividend to which such tax is attributable is subject to taxation on a net basis by the country referred to in subparagraph (A), and (ii) such country allows a credit against its net basis tax for the full amount of the tax paid to such other foreign country."
title-26_subtitle-A_chapter-1_subchapter-G_part-II_section-542_subsection-a,personal holding company,entity,"means any corporation (other than a corporation described in subsection (c)) if— (1) Adjusted ordinary gross income requirement At least 60 percent of its adjusted ordinary gross income (as defined in section 543(b)(2)) for the taxable year is personal holding company income (as defined in section 543(a)), and (2) Stock ownership requirement At any time during the last half of the taxable year more than 50 percent in value of its outstanding stock is owned, directly or indirectly, by or for not more than 5 individuals."
title-26_subtitle-D_chapter-32_subchapter-G_section-4221_subsection-d,nonprofit educational organization,entity,means an educational organization described in section 170(b)(1)(A)(ii) which is exempt from income tax under section 501(a).
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-C_section-36B_subsection-c,applicable taxpayer,entity,"means, with respect to any taxable year, a taxpayer whose household income for the taxable year equals or exceeds 100 percent but does not exceed 400 percent of an amount equal to the poverty line for a family of the size involved."
title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-D_section-897_subsection-h,domestically controlled qualified investment entity,concept,means any qualified investment entity in which at all times during the testing period less than 50 percent in value of the stock was held directly or indirectly by foreign persons.
title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-265_subsection-b,interest,entity,"includes amounts (whether or not designated as interest) paid in respect of deposits, investment certificates, or withdrawable or repurchasable shares."
title-26_subtitle-F_chapter-79_section-7701_subsection-a,international organization,entity,"means a public international organization entitled to enjoy privileges, exemptions, and immunities as an international organization under the International Organizations Immunities Act (22 U."
title-26_subtitle-F_chapter-65_subchapter-B_section-6417_subsection-b,applicable credit,concept,"means each of the following: (1) So much of the credit for alternative fuel vehicle refueling property allowed under section 30C which, pursuant to subsection (d)(1) of such section, is treated as a credit listed in section 38(b)."
title-26_subtitle-D_chapter-42_subchapter-A_section-4941_subsection-e,taxable period,entity,"means, with respect to any act of self-dealing, the period beginning with the date on which the act of self-dealing occurs and ending on the earliest of— (A) the date of mailing a notice of deficiency with respect to the tax imposed by subsection (a)(1) under section 6212, (B) the date on which the tax imposed by subsection (a)(1) is assessed, or (C) the date on which correction of the act of self-dealing is completed."
title-26_subtitle-A_chapter-1_subchapter-P_part-V_subpart-C_section-1281_subsection-b,required accrual period,concept,"means the period— (i) which begins with the first taxable year for which the ownership test of subparagraph (C) is met with respect to the pass-thru entity (or a predecessor), and (ii) which ends with the first taxable year after the taxable year referred to in clause (i) for which the ownership test of subparagraph (C) is not met and with respect to which the Secretary consents to"
title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-108_subsection-g,qualified person,entity,"meaning given to such term by section 49(a)(1)(D)(iv); except that such term shall include any Federal, State, or local government or agency or instrumentality thereof."
title-26_subtitle-E_chapter-51_subchapter-F_part-III_section-5382_subsection-a,affiliate,entity,meaning given such term by section 117(a)(4) of the Federal Alcohol Administration Act (27 U.
title-26_subtitle-A_chapter-1_subchapter-P_part-III_section-1221_subsection-b,hedging transaction,concept,"means any transaction entered into by the taxpayer in the normal course of the taxpayer's trade or business primarily— (i) to manage risk of price changes or currency fluctuations with respect to ordinary property which is held or to be held by the taxpayer, (ii) to manage risk of interest rate or price changes or currency fluctuations with respect to borrowings made or to be made, or ordinary obligations incurred or to be incurred, by the taxpayer, or (iii) to manage such other risks as the Secretary may prescribe in regulations."
title-26_subtitle-A_chapter-1_subchapter-D_part-III_subpart-A_section-430_subsection-c,compensation,entity,"meaning of section 4043 of the Employee Retirement Income Security Act of 1974) of the plan sponsor for the preceding plan year, determined without regard to any reduction by reason of interest, taxes, depreciation, or amortization, or (II) in the case of a plan sponsor that determined and declared dividends in the same manner for at least 5 consecutive years immediately preceding such plan year, the aggregate amount of dividends determined and declared for such plan year using such manner."
title-26_subtitle-C_chapter-22_subchapter-C_section-3221_subsection-a,applicable percentage,concept,means the percentage equal to the sum of the rates of tax in effect under subsections (a) and (b) of section 3111 for the calendar year.
title-26_subtitle-A_chapter-1_subchapter-F_part-III_section-512_subsection-a,unrelated business taxable income,entity,"means the gross income derived by any organization from any unrelated trade or business (as defined in section 513) regularly carried on by it, less the deductions allowed by this chapter which are directly connected with the carrying on of such trade or business, both computed with the modifications provided in subsection (b)."
title-26_subtitle-A_chapter-1_subchapter-B_part-II_section-72_subsection-m,5-percent owner,entity,"means any individual who, at any time during the 5 plan years preceding the plan year ending in the taxable year in which the amount is received, is a 5-percent owner (as defined in section 416(i)(1)(B))."
title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-B_section-6045_subsection-g,applicable date,concept,"means— (i) January 1, 2011, in the case of any specified security which is stock in a corporation (other than any stock described in clause (ii)), (ii) January 1, 2012, in the case of any stock for which an average basis method is permissible under section 1012, (iii) January 1, 2023, in the case of any specified security which is a digital asset, and (iv) January 1, 2013, or such later date determined by the Secretary in the case of any other specified security."
title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-A_section-6038A_subsection-c,related party,entity,"means— (A) any 25-percent foreign shareholder of the reporting corporation, (B) any person who is related (within the meaning of section 267(b) or 707(b)(1)) to the reporting corporation or to a 25-percent foreign shareholder of the reporting corporation, and (C) any other person who is related (within the meaning of section 482) to the reporting corporation."
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45D_subsection-e,high migration rural county,entity,"means any county which, during the 20-year period ending with the year in which the most recent census was conducted, has a net out-migration of inhabitants from the county of at least 10 percent of the population of the county at the beginning of such period."
title-26_subtitle-F_chapter-76_subchapter-C_part-I_section-7448_subsection-a,special trial judge,entity,"means a judicial officer appointed pursuant to section 7443A, including any individual receiving an annuity under chapter 83 or 84 of title 5, United States Code."
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-B_section-460_subsection-e,residential construction contract,concept,"means any contract which would be described in subparagraph (A) if clause (i) of such subparagraph reads as follows: ""(i) dwelling units (as defined in section 168(e)(2)(A)(ii)), and""."
title-26_subtitle-F_chapter-79_section-7701_subsection-a,substituted basis property,concept,"means property which is— (A) transferred basis property, or (B) exchanged basis property."
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-C_section-465_subsection-c,qualified c corporation,entity,"means any corporation described in subparagraph (B) of subsection (a)(1) which is not— (i) a personal holding company (as defined in section 542(a)), or (ii) a personal service corporation (as defined in section 269A(b) but determined by substituting ""5 percent"" for ""10 percent"" in section 269A(b)(2))."
title-26_subtitle-D_chapter-42_subchapter-A_section-4943_subsection-c,excess business holdings,entity,"means, with respect to the holdings of any private foundation in any business enterprise, the amount of stock or other interest in the enterprise which the foundation would have to dispose of to a person other than a disqualified person in order for the remaining holdings of the foundation in such enterprise to be permitted holdings."
title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-F_section-954_subsection-h,eligible controlled foreign corporation,entity,"means a controlled foreign corporation which— (i) is predominantly engaged in the active conduct of a banking, financing, or similar business, and (ii) conducts substantial activity with respect to such business."
title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-271_subsection-b,contributions,entity,"includes a gift, subscription, loan, advance, or deposit, of money, or anything of value, and includes a contract, promise, or agreement to make a contribution, whether or not legally enforceable."
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-B_section-457A_subsection-b,nonqualified entity,entity,"means— (1) any foreign corporation unless substantially all of its income is— (A) effectively connected with the conduct of a trade or business in the United States, or (B) subject to a comprehensive foreign income tax, and (2) any partnership unless substantially all of its income is allocated to persons other than— (A) foreign persons with respect to whom such income is not subject to a comprehensive foreign income tax, and (B) organizations which are exempt from tax under this title."
title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-144_subsection-a,qualified small issue bond,concept,"means any bond issued as part of an issue the aggregate authorized face amount of which is $1,000,000 or less and 95 percent or more of the net proceeds of which are to be used— (A) for the acquisition, construction, reconstruction, or improvement of land or property of a character subject to the allowance for depreciation, or (B) to redeem part or all of a prior issue which was issued for purposes described in subparagraph (A) or this subparagraph."
title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-108_subsection-f,student loan,concept,"means any loan to an individual to assist the individual in attending an educational organization described in section 170(b)(1)(A)(ii) made by— (A) the United States, or an instrumentality or agency thereof, (B) a State, territory, or possession of the United States, or the District of Columbia, or any political subdivision thereof, (C) a public benefit corporation— (i) which is exempt from taxation under section 501(c)(3), (ii) which has assumed control over a State, county, or municipal hospital, and (iii) whose employees have been deemed to be public employees under State law, or (D) any educational organization described in section 170(b)(1)(A)(ii) if such loan is made— (i) pursuant to an agreement with any entity described in subparagraph (A), (B), or (C) under which the funds from which the loan was made were provided to such educational organization, or (ii) pursuant to a program of such educational organization which is designed to encourage its students to serve in occupations with unmet needs or in areas with unmet needs and under which the services provided by the students (or former students) are for or under the direction of a governmental unit or an organization described in section 501(c)(3) and exempt from tax under section 501(a)."
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-172_subsection-d,taxable income,entity,"mean ""real estate investment trust taxable income"" (as defined in section 857(b)(2)); and (C) subsection (a)(2)(B)(ii)(I) shall be applied by substituting ""real estate investment trust taxable income (as defined in section 857(b)(2) but without regard to the deduction for dividends paid (as defined in section 561))"" for ""taxable income""."
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-A_section-21_subsection-e,student,entity,means an individual who during each of 5 calendar months during the taxable year is a full-time student at an educational organization.
title-26_subtitle-A_chapter-1_subchapter-B_part-VIII_section-245_subsection-c,effectively connected income,concept,means any income which is effectively connected (or treated as effectively connected) with the conduct of a trade or business in the United States and is subject to tax under this chapter.
title-26_subtitle-C_chapter-21_subchapter-D_section-3134_subsection-c,eligible employer,entity,"means any employer— (i) which was carrying on a trade or business during the calendar quarter for which the credit is determined under subsection (a), and (ii) with respect to any calendar quarter, for which— (I) the operation of the trade or business described in clause (i) is fully or partially suspended during the calendar quarter due to orders from an appropriate governmental authority limiting commerce, travel, or group meetings (for commercial, social, religious, or other purposes) due to the coronavirus disease 2019 (COVID–19), (II) the gross receipts (within the meaning of section 448(c)) of such employer for such calendar quarter are less than 80 percent of the gross receipts of such employer for the same calendar quarter in calendar year 2019, or (III) the employer is a recovery startup business (as defined in paragraph (5))."
title-26_subtitle-A_chapter-1_subchapter-D_part-III_subpart-B_section-436_subsection-j,funding target attainment percentage,concept,meaning given such term by section 430(d)(2).
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-170_subsection-h,qualified conservation contribution,concept,"means a contribution— (A) of a qualified real property interest, (B) to a qualified organization, (C) exclusively for conservation purposes."
title-26_subtitle-A_chapter-1_subchapter-B_part-II_section-72_subsection-s,primary annuitant,entity,"means the individual, the events in the life of whom are of primary importance in affecting the timing or amount of the payout under the contract."
title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-147_subsection-f,applicable elected representative,entity,"means with respect to any governmental unit— (I) an elected legislative body of such unit, or (II) the chief elected executive officer, the chief elected State legal officer of the executive branch, or any other elected official of such unit designated for purposes of this paragraph by such chief elected executive officer or by State law."
title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-F_section-965_subsection-e,specified foreign corporation,entity,"means— (A) any controlled foreign corporation, and (B) any foreign corporation with respect to which one or more domestic corporations is a United States shareholder."
title-26_subtitle-C_chapter-21_subchapter-C_section-3121_subsection-i,wages,entity,"meaning of the Peace Corps Act, to which the provisions of section 3121(p) are applicable,"
title-26_subtitle-D_chapter-42_subchapter-A_section-4946_subsection-a,substantial contributor,entity,means a person who is described in section 507(d)(2).
title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-108_subsection-i,debt instrument,concept,"means a bond, debenture, note, certificate, or any other instrument or contractual arrangement constituting indebtedness (within the meaning of section 1275(a)(1))."
title-26_subtitle-A_chapter-1_subchapter-G_part-II_section-543_subsection-a,personal holding company income,entity,"means the portion of the adjusted ordinary gross income which consists of: (1) Dividends, etc."
title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-F_section-954_subsection-h,qualified banking or financing income,concept,"means income of an eligible controlled foreign corporation which— (i) is derived in the active conduct of a banking, financing, or similar business by— (I) such eligible controlled foreign corporation, or (II) a qualified business unit of such eligible controlled foreign corporation, (ii) is derived from one or more transactions— (I) with customers located in a country other than the United States, and (II) substantially all of the activities in connection with which are conducted directly by the corporation or unit in its home country, and (iii) is treated as earned by such corporation or unit in its home country for purposes of such country's tax laws."
title-26_subtitle-E_chapter-53_subchapter-B_part-I_subsection-k,dealer,entity,"means any person, not a manufacturer or importer, engaged in the business of selling, renting, leasing, or loaning firearms and shall include pawnbrokers who accept firearms as collateral for loans."
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-B_section-451_subsection-b,applicable financial statement,concept,"means— (A) a financial statement which is certified as being prepared in accordance with generally accepted accounting principles and which is— (i) a 10–K (or successor form), or annual statement to shareholders, required to be filed by the taxpayer with the United States Securities and Exchange Commission, (ii) an audited financial statement of the taxpayer which is used for— (I) credit purposes, (II) reporting to shareholders, partners, or other proprietors, or to beneficiaries, or (III) any other substantial nontax purpose, (iii) filed by the taxpayer with any other Federal agency for purposes other than Federal tax purposes, but only if there is no statement of the taxpayer described in clause (i) or (ii), (B) a financial statement which is made on the basis of international financial reporting standards and is filed by the taxpayer with an agency of a foreign government which is equivalent to the United States Securities and Exchange Commission and which has reporting standards not less stringent than the standards required by such Commission, but only if there is no statement of the taxpayer described in subparagraph (A), or (C) a financial statement filed by the taxpayer with any other regulatory or governmental body specified by the Secretary, but only if there is no statement of the taxpayer described in subparagraph (A) or (B)."
title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-D_section-898_subsection-b,specified foreign corporation,entity,"means any foreign corporation— (A) which is treated as a controlled foreign corporation for any purpose under subpart F of part III of this subchapter, and (B) with respect to which the ownership requirements of paragraph (2) are met."
title-26_subtitle-A_chapter-1_subchapter-E_part-I_section-441_subsection-b,taxable year,entity,"means— (1) the taxpayer's annual accounting period, if it is a calendar year or a fiscal year; (2) the calendar year, if subsection (g) applies; (3) the period for which the return is made, if a return is made for a period of less than 12 months; or (4) in the case of a DISC filing a return for a period of at least 12 months, the period determined under subsection (h)."
title-26_subtitle-A_chapter-1_subchapter-F_part-III_section-513_subsection-i,unrelated trade or business,entity,does not include the activity of soliciting and receiving qualified sponsorship payments.
title-26_subtitle-B_chapter-13_subchapter-F_section-2652_subsection-b,trustee,entity,mean the person in actual or constructive possession of the property subject to such arrangement.
title-26_subtitle-J_chapter-99_subchapter-C_part-I_section-9711_subsection-f,eligible beneficiary,entity,"means any individual who is eligible for health benefits under a plan described in subsection (a) or (b) by reason of the individual's relationship with the retiree described in such subsection (or to an individual who, based on service and employment history at the time of death, would have been so described but for such death)."
title-26_subtitle-A_chapter-1_subchapter-F_part-VIII_section-529_subsection-e,designated beneficiary,entity,"means— (A) the individual designated at the commencement of participation in the qualified tuition program as the beneficiary of amounts paid (or to be paid) to the program, (B) in the case of a change in beneficiaries described in subsection (c)(3)(C), the individual who is the new beneficiary, and (C) in the case of an interest in a qualified tuition program purchased by a State or local government (or agency or instrumentality thereof) or an organization described in section 501(c)(3) and exempt from taxation under section 501(a) as part of a scholarship program operated by such government or organization, the individual receiving such interest as a scholarship."
title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-A_section-871_subsection-k,aggregate reported amount,concept,means the aggregate amount of dividends reported by the company under clause (i) as interest related dividends for the taxable year (including interest related dividends paid after the close of the taxable year described in section 855).
title-26_subtitle-A_chapter-1_subchapter-S_part-III_section-1374_subsection-d,net unrealized built-in gain,concept,"means the amount (if any) by which— (A) the fair market value of the assets of the S corporation as of the beginning of its 1st taxable year for which an election under section 1362(a) is in effect, exceeds (B) the aggregate adjusted bases of such assets at such time."
title-26_subtitle-A_chapter-1_subchapter-D_part-III_subpart-A_section-432_subsection-e,suspension of benefits,concept,"means the temporary or permanent reduction of any current or future payment obligation of the plan to any participant or beneficiary under the plan, whether or not in pay status at the time of the suspension of benefits."
title-26_subtitle-A_chapter-1_subchapter-U_part-I_section-1393_subsection-a,appropriate secretary,entity,"means— (A) the Secretary of Housing and Urban Development in the case of any nominated area which is located in an urban area, and (B) the Secretary of Agriculture in the case of any nominated area which is located in a rural area."
title-26_subtitle-A_chapter-1_subchapter-P_part-III_section-1222,short-term capital loss,concept,"means loss from the sale or exchange of a capital asset held for not more than 1 year, if and to the extent that such loss is taken into account in computing taxable income."
title-26_subtitle-A_chapter-1_subchapter-G_part-II_section-547_subsection-c,determination,concept,"means— (1) a decision by the Tax Court or a judgment, decree, or other order by any court of competent jurisdiction, which has become final; (2) a closing agreement made under section 7121; or (3) under regulations prescribed by the Secretary, an agreement signed by the Secretary and by, or on behalf of, the taxpayer relating to the liability of such taxpayer for personal holding company tax."
title-26_subtitle-D_chapter-32_subchapter-G_section-4221_subsection-d,export,concept,includes shipment to a possession of the United States; and
title-26_subtitle-F_chapter-68_subchapter-A_part-II_section-6664_subsection-a,underpayment,concept,"means the amount by which any tax imposed by this title exceeds the excess of— (1) the sum of— (A) the amount shown as the tax by the taxpayer on his return, plus (B) amounts not so shown previously assessed (or collected without assessment), over (2) the amount of rebates made."
title-26_subtitle-A_chapter-1_subchapter-I_part-I_section-613A_subsection-c,applicable percentage,concept,"means the percentage (not greater than 25 percent) equal to the sum of— (i) 15 percent, plus (ii) 1 percentage point for each whole dollar by which $20 exceeds the reference price for crude oil for the calendar year preceding the calendar year in which the taxable year begins."
title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-279_subsection-c,projected earnings,concept,"means the ""average annual earnings"" (as defined in subparagraph (B)) of— (i) the issuing corporation only, if clause (ii) does not apply, or (ii) both the issuing corporation and the acquired corporation, in any case where the issuing corporation has acquired control (as defined in section 368(c)), or has acquired substantially all of the properties, of the acquired corporation."
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-414_subsection-j,defined benefit plan,concept,means any plan which is not a defined contribution plan.
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-B_section-453_subsection-f,payment,entity,does not include the receipt of evidences of indebtedness of the person acquiring the property (whether or not payment of such indebtedness is guaranteed by another person).
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-401_subsection-a,employer,entity,"means the employer referred to in section 412(b)(1), without regard to section 412(b)(2)."
